computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,SensitivityToPunishment,SensitivityToReward
win,4/5/21,10:58:47,40,1,162604,1,16,3
win,4/5/21,12:02:18,61,1,209425,1,14,16
mac,4/5/21,09:05:30,20,1,139320,1,5,3
win,4/5/21,10:40:19,6,1,391472,1,19,13
win,4/5/21,12:07:39,47,1,230477,1,23,8
and,4/5/21,17:40:12,63,1,387662,1,10,15
win,4/5/21,10:23:08,24,1,221624,1,16,7
mac,4/5/21,12:21:27,50,1,175313,1,18,9
win,4/5/21,11:08:57,26,1,382771,1,13,9
mac,4/5/21,12:31:17,64,1,203869,1,17,7
win,4/5/21,10:02:09,38,1,106158,1,13,18
win,4/5/21,12:23:37,42,1,384618,1,20,7
win,4/5/21,12:40:38,48,1,173799,1,19,19
win,4/5/21,12:33:22,1,1,380000,1,19,5
win,4/5/21,12:25:43,2,1,293129,1,7,11
win,4/5/21,17:21:04,65,1,350603,1,10,19
mac,4/5/21,10:34:42,66,1,401523,1,21,5
win,4/5/21,09:38:46,67,1,488432,1,11,12
mac,4/5/21,12:25:04,68,1,178596,1,16,10
win,4/5/21,13:15:39,69,1,181606,1,4,3
and,4/5/21,13:25:15,70,1,168788,1,17,10
win,4/5/21,13:22:01,71,1,300991,1,13,17
win,4/5/21,12:37:55,72,1,277852,1,12,8
win,4/5/21,11:24:33,73,1,304277,1,7,7
win,4/5/21,14:15:33,74,1,237665,1,8,8
win,4/5/21,11:54:15,75,1,295027,1,13,3
win,4/5/21,20:57:08,76,1,1288867,1,18,19
win,4/5/21,14:17:56,77,1,1117442,1,4,14
mac,4/13/21,09:08:15,78,1,223309,1,13,6
win,4/13/21,10:52:05,79,1,951755,1,8,5
win,4/13/21,11:07:48,81,1,274042,1,9,13
win,4/13/21,12:19:46,82,1,162377,1,18,6
win,4/13/21,10:26:07,83,1,225489,1,3,21
win,4/13/21,12:44:47,84,1,281421,1,8,13
win,4/13/21,12:47:51,85,1,410721,1,6,17
win,4/13/21,16:52:27,86,1,322341,1,6,14
win,4/13/21,12:56:50,87,1,197589,1,12,3
win,4/13/21,10:08:02,89,1,193740,1,12,11
win,4/13/21,13:11:53,91,1,155248,1,19,20
win,4/13/21,12:11:38,90,1,245442,1,18,14
win,4/13/21,12:07:50,88,1,524665,1,11,14
win,4/13/21,13:13:48,92,1,171350,1,19,10
win,4/13/21,08:18:12,94,1,206036,1,13,23
win,4/13/21,13:21:37,95,1,154551,1,13,9
win,4/13/21,13:19:52,93,1,437003,1,5,6
win,4/13/21,13:24:20,96,1,180111,1,0,4
win,4/13/21,13:29:05,99,1,89,0,0,0
win,4/13/21,13:35:47,101,1,4275,0,0,0
win,4/13/21,10:27:32,97,1,504376,1,20,10
win,4/13/21,10:31:37,98,1,295657,1,22,7
win,4/13/21,12:34:33,100,1,345802,1,5,6
win,4/13/21,13:41:46,102,1,269878,1,6,8
win,4/13/21,13:41:37,103,1,289076,1,1,17
win,4/13/21,18:41:30,104,1,253811,1,7,14
win,4/13/21,10:45:35,105,1,289619,1,23,11
and,4/13/21,18:46:29,109,1,376043,1,15,17
mac,4/13/21,13:56:26,106,1,157244,1,9,4
win,4/13/21,13:57:39,108,1,214125,1,22,16
win,4/13/21,10:58:48,107,1,516674,1,6,15
win,4/13/21,14:18:09,110,1,198100,1,19,20
win,4/13/21,12:38:13,111,1,863533,1,14,13
mac,4/13/21,10:32:17,112,1,280826,1,21,10
win,4/13/21,14:35:45,113,1,113263,1,20,21
and,4/13/21,14:11:09,80,1,1622525,1,14,11
win,4/13/21,14:05:17,114,1,467149,1,11,12
win,4/13/21,14:06:15,115,1,445092,1,2,4
win,4/13/21,14:13:39,116,1,359399,1,8,7
win,4/13/21,12:47:58,117,1,1116831,1,13,20
mac,4/13/21,15:08:15,118,1,191312,1,8,9
win,4/13/21,15:02:58,119,1,156520,1,14,2
and,4/13/21,14:00:41,120,1,250738,1,14,2
mac,4/13/21,16:09:49,121,1,490462,1,23,10
mac,4/13/21,17:46:38,122,1,181206,1,18,12
and,4/14/21,04:41:21,123,1,900523,1,17,10
win,4/26/21,10:16:14,124,1,194660,1,14,20
