subID,amount,task,indPt,SV
130,2,1,0.46875,0.234375
130,3,3,1.078125,0.359375
130,2,2,0.46875,0.234375
131,2,1,1.21875,0.609375
131,4,2,2.1875,0.546875
131,4,3,1.1875,0.296875
131,2,2,0.53125,0.265625
131,3,2,1.359375,0.453125
131,3,1,1.828125,0.609375
131,2,3,0.53125,0.265625
131,3,3,0.796875,0.265625
131,4,1,3.5625,0.890625
132,4,2,3.9375,0.984375
132,2,2,1.96875,0.984375
132,4,1,3.9375,0.984375
132,2,3,1.96875,0.984375
132,3,3,2.953125,0.984375
132,3,1,2.953125,0.984375
132,4,3,3.9375,0.984375
132,3,2,2.953125,0.984375
132,2,1,1.96875,0.984375
