inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,TotalWinAmount,finalN,finalReward,percentCorrect_N1,percentCorrect_N2,percentCorrect_N3,percentCorrect_N4,percentCorrect,meanCorrectSpeechWords_N1,meanCorrectSpeechWords_N2,meanCorrectSpeechWords_N3,meanCorrectSpeechWords_N4,meanCorrectSpeechWords,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4
6265,win,3/24/21,18:49:43,13,1,1099893,1,2,X,1.03125,3,X,0.796875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.125,1,0.125,88,73,43,22,91,3.533333333,2.933333333,1.733333333,0.866666667,3.65,1,1,1,18,2,2,4,1,3,16,7,6,6,6,6,7,17,16,13,2,4,3,17,21
6265,win,3/25/21,15:59:10,41,1,1751285,1,2,X,1.59375,3,X,2.203125,4,X,3.5625,2,X,0.03125,3,X,0.328125,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.0625,1,0.0625,92,80,53,35,89,3.666666667,3.2,2.133333333,1.4,3.55,4,1,4,16,6,3,13,1,2,13,12,8,18,2,4,5,15,17,21,1,3,1,21,19
6265,mac,3/26/21,23:02:28,62,1,1708461,0,2,X,0.34375,3,X,0.234375,4,X,1.1875,2,X,0.53125,3,X,0.328125,4,X,0.0625,2,X,0.78125,3,X,0.328125,4,X,2.0625,2,1,2,68,83,33,10,73,2.733333333,3.333333333,1.333333333,0.4,2.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6265,mac,3/27/21,20:38:55,11,1,3976868,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,1.0625,0.25,1,0.25,88,65,43,10,71,3.533333333,2.6,1.733333333,0.4,2.85,16,13,12,12,16,14,21,21,16,3,21,21,18,21,6,1,21,21,21,21,17,1,21,21
6265,win,4/6/21,10:47:12,71,1,1474920,1,2,X,1.21875,3,X,2.015625,4,X,2.8125,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,1,1,1,72,75,50,10,80,2.866666667,3,2,0.4,3.2,17,17,8,14,17,16,18,16,8,15,18,17,20,20,10,11,19,20,21,21,10,2,18,21
6265,win,4/6/21,10:57:18,42,1,1624673,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.125,1,0.125,83,77,40,8,80,3.333333333,3.066666667,1.6,0.333333333,3.2,3,2,2,17,13,6,17,3,7,16,15,12,20,4,19,7,21,17,21,4,21,2,21,18
6265,win,4/6/21,08:50:20,24,1,1060522,1,2,X,1.96875,3,X,2.953125,4,X,3.4375,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,2.9375,3,2,3,93,68,40,17,79,3.733333333,2.733333333,1.6,0.666666667,3.15,2,4,1,19,3,6,11,11,1,14,11,11,13,16,6,7,18,16,17,21,14,3,19,19
6299,mac,4/6/21,11:00:12,50,1,1574536,1,2,X,1.71875,3,X,2.953125,4,X,3.6875,2,X,1.78125,3,X,1.453125,4,X,2.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,2,2,93,85,78,28,89,3.733333333,3.4,3.133333333,1.133333333,3.55,7,1,3,19,5,2,14,3,3,17,14,6,17,4,4,16,17,8,20,4,6,4,21,19
6265,win,4/6/21,10:14:14,33,1,1252403,1,2,X,1.96875,3,X,2.953125,4,X,2.9375,2,X,0.59375,3,X,1.359375,4,X,1.4375,2,X,0.28125,3,X,1.921875,4,X,1.9375,2,3,2,80,85,43,17,46,3.2,3.4,1.733333333,0.666666667,1.85,4,19,4,16,3,1,3,19,3,17,4,3,14,21,3,5,19,3,17,21,7,1,21,3
6265,win,4/6/21,11:10:52,72,1,2464735,1,2,X,1.71875,3,X,2.203125,4,X,0.8125,2,X,0.09375,3,X,0.421875,4,X,0.3125,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.1875,1,0.1875,83,85,55,23,86,3.333333333,3.4,2.2,0.933333333,3.45,3,4,5,16,4,3,3,4,4,17,5,3,15,6,7,11,14,12,16,5,12,4,13,14
6265,mac,4/6/21,12:30:41,64,1,1128263,0,2,X,0.53125,3,X,0.515625,4,X,0.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,4,2,4,93,80,40,8,80,3.733333333,3.2,1.6,0.333333333,3.2,17,1,14,17,18,15,20,1,15,13,20,15,21,2,18,3,21,20,21,7,16,1,21,21
6265,win,4/6/21,10:57:57,73,1,1358781,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.0625,1,0.0625,87,78,42,2,91,3.466666667,3.133333333,1.666666667,0.066666667,3.65,19,18,17,13,14,12,17,17,17,15,14,13,20,20,19,17,17,17,21,21,21,20,20,20
6265,mac,4/6/21,11:52:28,66,1,1702384,1,2,X,1.46875,3,X,2.765625,4,X,2.9375,2,X,1.65625,3,X,1.546875,4,X,0.9375,2,X,0.28125,3,X,0.609375,4,X,0.5625,1,1,1,88,88,58,25,91,3.533333333,3.533333333,2.333333333,1,3.65,10,1,5,17,13,8,15,2,5,16,15,11,17,3,6,10,17,15,19,4,4,3,19,18
6265,win,4/6/21,12:20:08,75,1,1175393,1,2,X,1.96875,3,1,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,X,3.9375,3,1,3,85,88,75,32,91,3.4,3.533333333,3,1.266666667,3.65,8,15,4,18,16,9,18,15,9,17,17,13,19,16,14,8,20,17,21,14,17,2,19,20
6265,win,4/6/21,16:40:48,74,1,1749807,1,2,X,1.59375,3,X,1.453125,4,X,3.6875,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,3,1,3,87,87,42,3,91,3.466666667,3.466666667,1.666666667,0.133333333,3.65,5,2,7,18,19,6,5,6,8,18,18,8,14,18,8,8,19,17,9,19,9,1,16,16
6299,mac,4/6/21,13:31:44,20,1,1302662,1,2,X,1.71875,3,X,2.203125,4,X,2.9375,2,X,1.28125,3,X,1.265625,4,X,2.1875,2,X,0.21875,3,X,0.609375,4,X,0.4375,2,3,2,90,80,63,27,56,3.6,3.2,2.533333333,1.066666667,2.25,14,3,3,17,12,11,17,4,4,13,16,13,20,2,3,11,20,20,21,5,3,4,20,21
6299,win,4/7/21,10:38:48,47,1,1367515,1,2,1,1.96875,3,X,2.953125,4,1,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.0625,1,0.0625,95,83,70,20,93,3.8,3.333333333,2.8,0.8,3.7,14,3,6,15,13,13,14,3,14,10,14,17,14,3,13,6,17,18,16,5,14,3,19,19
6265,win,4/7/21,08:37:42,77,1,5075873,1,2,X,1.96875,3,X,2.390625,4,X,2.1875,2,X,0.96875,3,X,1.453125,4,X,1.9375,2,X,0.84375,3,X,1.453125,4,X,0.9375,2,2,2,72,63,25,10,61,2.866666667,2.533333333,1,0.4,2.45,21,21,21,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
6265,win,4/7/21,15:41:34,48,1,1456760,1,2,X,1.96875,3,X,2.578125,4,X,3.8125,2,X,0.71875,3,1,2.953125,4,X,1.9375,2,X,0.84375,3,X,1.453125,4,X,2.4375,2,2,2,78,75,48,8,63,3.133333333,3,1.933333333,0.333333333,2.5,11,1,15,12,14,13,15,15,13,14,15,13,11,17,14,6,15,15,12,19,14,1,17,17
6265,win,4/8/21,08:53:35,61,1,1329704,0,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,0.53125,3,X,0.328125,4,X,0.1875,2,X,0.03125,3,X,0.140625,4,X,0.1875,2,2,2,90,70,37,7,71,3.6,2.8,1.466666667,0.266666667,2.85,5,5,5,17,5,4,10,5,4,11,10,9,13,3,5,4,14,13,17,3,5,1,12,16
6265,win,4/10/21,08:57:48,7,1,1765914,1,2,X,0.03125,3,X,0.046875,4,X,2.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,1,1,1,85,70,32,3,84,3.4,2.8,1.266666667,0.133333333,3.35,14,1,4,16,13,13,15,1,13,13,18,17,21,1,17,1,21,21,21,1,21,1,21,21
6265,win,4/11/21,18:16:03,6,1,1304011,1,2,1,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.96875,3,X,2.953125,4,1,1.9375,2,X,0.03125,3,X,0.046875,4,X,2.0625,0.5,1,0.5,85,85,60,13,91,3.4,3.4,2.4,0.533333333,3.65,9,10,14,18,12,14,14,16,14,19,13,20,20,20,17,13,19,20,21,21,16,2,20,21
