inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,Reward_N5_1,fixedAmount_N5_1,IP15_1,Reward_N5_2,fixedAmount_N5_2,IP15_2,Reward_N5_3,fixedAmount_N5_3,IP15_3,Reward_N6_1,fixedAmount_N6_1,IP16_1,Reward_N6_2,fixedAmount_N6_2,IP16_2,Reward_N6_3,fixedAmount_N6_3,IP16_3,TotalWinAmount,finalN,finalReward,hitrate_N1,CRrate_N1,hitrate_N2,CRrate_N2,hitrate_N3,CRrate_N3,hitrate_N4,CRrate_N4,hitrate_N5,CRrate_N5,hitrate_N6,CRrate_N6,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4,mentaldemand_5,physicaldemand_5,temporaldemand_5,performance_5,effort_5,frustration_5,mentaldemand_6,physicaldemand_6,temporaldemand_6,performance_6,effort_6,frustration_6
6265,win,3/24/21,15:50:48,60,1,1132748,1,2,X,1.46875,3,1,2.203125,4,1,3.9375,2,X,1.96875,3,1,2.765625,4,X,1.9375,2,X,1.71875,3,1,2.203125,4,X,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,2,2,0.6,0.466666667,0.8,0.6,1,0.4,0.8,0.533333333,0,0,0,0,6,7,7,10,7,8,9,9,9,16,7,7,16,13,14,13,14,5,15,13,10,16,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/24/21,18:35:14,13,1,791250,1,2,1,1.96875,3,X,2.953125,4,X,3.6875,2,1,0.96875,3,X,2.203125,4,1,3.4375,2,X,0.40625,3,X,0.984375,4,X,0.8125,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,0.6,0.8,1,0.8,1,1,0.6,0.866666667,0,0,0,0,6,1,6,5,5,15,4,1,6,19,11,9,11,4,4,21,14,8,21,5,5,13,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,3/25/21,15:40:26,41,1,983369,1,2,X,1.90625,3,X,2.390625,4,X,3.1875,2,X,1.15625,3,X,1.734375,4,X,2.3125,2,X,0.46875,3,X,1.546875,4,X,0.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2.5,1,2.5,1,0.6,1,1,0.8,0.866666667,1,0.866666667,0,0,0,0,1,1,1,16,5,2,6,2,1,21,9,1,16,3,2,15,13,8,15,2,4,16,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/26/21,22:44:38,62,1,1065947,0,2,X,0.15625,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.125,1,0.125,0.6,0.466666667,0.6,0.266666667,0.2,0.133333333,0,0.2,0,0,0,0,17,14,11,5,16,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,mac,3/27/21,20:05:08,11,1,1657971,1,2,X,0.46875,3,X,0.796875,4,X,0.5625,2,X,0.40625,3,X,0.890625,4,X,0.4375,2,X,0.21875,3,X,0.421875,4,X,0.1875,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,0.6,0.466666667,1,0.6,0.8,0.6,1,0.6,0,0,0,0,21,21,21,2,21,21,19,17,15,11,15,21,20,18,16,15,17,17,20,20,20,7,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:26:31,71,1,1073333,1,2,X,0.96875,3,X,2.484375,4,X,1.6875,2,X,1.40625,3,X,2.390625,4,X,2.5625,2,X,0.46875,3,X,0.984375,4,X,1.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,2,3,0.6,0.933333333,1,0.933333333,1,0.933333333,0.4,0.8,0,0,0,0,4,4,8,18,12,7,6,5,7,19,13,8,13,10,10,19,15,9,17,12,12,12,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,10:34:03,42,1,1057955,1,2,X,0.40625,3,X,0.703125,4,X,0.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,0.5,1,0.5,0.8,1,1,0.933333333,0.6,0.866666667,0.4,1,0,0,0,0,7,3,2,17,6,2,14,4,15,13,13,6,19,5,19,3,19,14,21,5,21,1,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,08:34:54,24,1,833163,1,2,X,1.71875,3,X,1.453125,4,X,3.4375,2,X,0.96875,3,X,2.203125,4,1,3.9375,2,X,0.46875,3,X,1.453125,4,1,3.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,2,3,2,0.8,1,1,0.933333333,0.6,0.933333333,0.6,0.933333333,0,0,0,0,2,1,4,18,5,2,12,1,5,20,12,5,15,1,12,14,17,11,21,1,16,14,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6299,mac,4/6/21,10:43:18,50,1,854520,1,2,X,1.78125,3,X,2.390625,4,X,2.4375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,4,1,4,1,1,1,1,0.6,0.933333333,0.6,0.933333333,0,0,0,0,3,1,5,21,6,3,13,1,5,21,13,5,18,1,16,13,16,15,19,1,19,13,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6265,win,4/6/21,09:56:15,33,1,941555,1,2,X,1.28125,3,X,1.921875,4,X,2.6875,2,1,1.96875,3,X,2.671875,4,X,2.8125,2,X,1.28125,3,X,1.546875,4,X,0.9375,2,NA,not run,3,NA,not run,4,NA,not run,2,NA,not run,3,NA,not run,4,NA,not run,3,4,3,1,0.933333333,1,0.933333333,0.8,1,1,0.933333333,0,0,0,0,14,3,1,20,5,1,17,1,8,19,5,1,20,1,5,15,18,2,21,1,7,20,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
